gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
Spp1,1.53E-228,1.75934109,0.26,0.008,3.82E-224,3
Myo1e,1.03E-292,1.724654431,0.541,0.089,2.58E-288,3
Apoe,0,1.682775035,0.821,0.37,0,3
Lpl,2.18E-271,1.630189604,0.353,0.02,5.45E-267,3
Xylt1,1.52E-249,1.610100615,0.448,0.063,3.82E-245,3
Cd74,3.14E-195,1.558784814,0.311,0.03,7.87E-191,3
Fgf13,0,1.554479188,0.818,0.357,0,3
3-Mar,1.02E-252,1.486651195,0.502,0.082,2.55E-248,3
Csf1,4.22E-205,1.452483221,0.369,0.046,1.06E-200,3
Apbb2,1.36E-306,1.348090461,0.758,0.261,3.40E-302,3
Fmn1,1.09E-220,1.32302842,0.471,0.084,2.74E-216,3
Apobec1,6.11E-203,1.31456933,0.557,0.167,1.53E-198,3
Alcam,5.77E-138,1.245996609,0.254,0.031,1.44E-133,3
Rai14,8.42E-209,1.238899482,0.344,0.034,2.11E-204,3
Bcl2,2.43E-157,1.219063027,0.342,0.056,6.09E-153,3
Fam20c,2.25E-194,1.218137949,0.291,0.023,5.65E-190,3
Myo5a,5.54E-171,1.198203442,0.368,0.059,1.39E-166,3
Olfr111,3.13E-212,1.193465583,0.421,0.062,7.84E-208,3
Chst11,2.18E-120,1.155606477,0.44,0.163,5.46E-116,3
Cacna1a,1.57E-157,1.144740531,0.496,0.144,3.94E-153,3
Itgax,2.79E-181,1.115689599,0.282,0.024,6.98E-177,3
Fgr,1.32E-163,1.074219212,0.348,0.054,3.30E-159,3
Lyz2,4.17E-113,1.068813051,0.262,0.044,1.04E-108,3
Etl4,1.33E-110,1.03733828,0.293,0.06,3.32E-106,3
Rftn1,1.41E-144,1.019800729,0.377,0.078,3.54E-140,3
Ank,5.39E-94,1.001714456,0.345,0.1,1.35E-89,3
Axl,4.38E-141,0.977701807,0.288,0.04,1.10E-136,3
Mitf,8.08E-196,0.97399325,0.772,0.415,2.02E-191,3
Trps1,5.88E-101,0.972252223,0.309,0.073,1.47E-96,3
Neat1,4.21E-121,0.942070702,0.401,0.108,1.05E-116,3
Osbpl8,1.61E-111,0.92556509,0.499,0.191,4.02E-107,3
Cers6,9.31E-133,0.917938676,0.462,0.135,2.33E-128,3
Arhgap25,1.19E-121,0.91506944,0.586,0.255,2.98E-117,3
Arhgap15,2.91E-73,0.911679791,0.332,0.112,7.28E-69,3
Fat3,5.26E-87,0.897877554,0.574,0.304,1.32E-82,3
Arhgap24,5.01E-121,0.853673434,0.577,0.232,1.26E-116,3
Prkg1,7.51E-74,0.835472685,0.395,0.154,1.88E-69,3
Cd9,2.98E-106,0.824047866,0.572,0.249,7.47E-102,3
Cdk14,5.81E-77,0.808417883,0.558,0.304,1.45E-72,3
Rassf3,4.31E-110,0.780571619,0.54,0.214,1.08E-105,3
Fnip2,4.45E-69,0.773501216,0.453,0.21,1.12E-64,3
Acaca,8.08E-80,0.761754506,0.293,0.082,2.02E-75,3
Cd84,2.71E-113,0.75046946,0.693,0.368,6.78E-109,3
Galnt7,8.76E-84,0.750307911,0.426,0.163,2.19E-79,3
Gm20663,3.80E-81,0.747757736,0.548,0.26,9.51E-77,3
Nrp1,9.12E-85,0.741018734,0.512,0.227,2.28E-80,3
Plekhm2,4.86E-78,0.73536617,0.396,0.149,1.22E-73,3
Csf2ra,1.67E-85,0.735129779,0.357,0.116,4.18E-81,3
Nrp2,9.10E-92,0.726918099,0.36,0.113,2.28E-87,3
Slc16a10,1.23E-79,0.726476065,0.312,0.095,3.08E-75,3
Lyst,1.41E-82,0.720278399,0.5,0.221,3.52E-78,3
Arhgap26,8.00E-77,0.718867655,0.258,0.066,2.00E-72,3
Ctsb,1.82E-90,0.715170824,0.574,0.272,4.55E-86,3
Asph,2.12E-90,0.705347784,0.638,0.341,5.31E-86,3
Rnf149,2.14E-66,0.689565994,0.291,0.094,5.35E-62,3
Myo1f,1.41E-118,0.681930731,0.786,0.475,3.54E-114,3
Ptprc,5.77E-122,0.680777221,0.82,0.507,1.44E-117,3
Gm15283,1.17E-63,0.675190828,0.353,0.138,2.93E-59,3
Gng12,1.01E-65,0.674271512,0.343,0.129,2.54E-61,3
Cdk6,3.98E-38,0.669417389,0.357,0.19,9.97E-34,3
Zfp704,1.80E-63,0.665492671,0.292,0.098,4.52E-59,3
Fmnl2,1.38E-60,0.661634683,0.496,0.254,3.46E-56,3
Dtnbp1,5.99E-60,0.660777871,0.329,0.126,1.50E-55,3
AU020206,3.68E-93,0.659454704,0.591,0.279,9.22E-89,3
P2rx4,5.27E-69,0.658496457,0.385,0.153,1.32E-64,3
Dgkz,1.24E-67,0.652487495,0.395,0.162,3.11E-63,3
Anapc15,1.80E-58,0.644496045,0.312,0.117,4.51E-54,3
Znrf3,1.63E-67,0.64158082,0.275,0.086,4.09E-63,3
Agap1,1.44E-50,0.634015182,0.255,0.09,3.60E-46,3
Vps13c,1.39E-68,0.628407405,0.385,0.154,3.49E-64,3
Cadm1,1.76E-56,0.620242949,0.646,0.431,4.40E-52,3
Gsap,3.34E-68,0.616819002,0.557,0.292,8.37E-64,3
Tpd52,1.64E-55,0.612150244,0.369,0.161,4.11E-51,3
Itpkb,5.70E-51,0.611445714,0.377,0.173,1.43E-46,3
Tspan5,4.11E-55,0.604567325,0.261,0.09,1.03E-50,3
Plek,1.70E-49,0.594752296,0.47,0.252,4.25E-45,3
Nfe2l2,6.40E-55,0.59272116,0.396,0.182,1.60E-50,3
Tank,8.99E-43,0.587076452,0.269,0.11,2.25E-38,3
Arid5b,8.21E-43,0.577073186,0.397,0.204,2.06E-38,3
Soat1,3.20E-58,0.573804637,0.276,0.097,8.01E-54,3
Otulin,1.83E-45,0.573498562,0.332,0.151,4.58E-41,3
Myo9b,1.05E-68,0.56397261,0.424,0.185,2.63E-64,3
Bcl2l1,3.93E-51,0.560490721,0.387,0.181,9.84E-47,3
Tns3,4.33E-73,0.556227131,0.706,0.435,1.08E-68,3
Slc23a2,4.50E-48,0.542834619,0.34,0.153,1.13E-43,3
Actr3,6.19E-51,0.531507675,0.393,0.188,1.55E-46,3
Rufy3,6.04E-42,0.518000118,0.299,0.133,1.51E-37,3
Peak1,1.12E-48,0.517944726,0.463,0.246,2.81E-44,3
Sh3bp2,2.43E-52,0.517379085,0.269,0.101,6.09E-48,3
Pik3cb,1.55E-40,0.517036594,0.374,0.19,3.88E-36,3
Sgms1,5.88E-48,0.509898116,0.383,0.186,1.47E-43,3
Acer3,3.29E-53,0.501453936,0.575,0.335,8.23E-49,3
Atp6v1b2,1.53E-45,0.499912689,0.262,0.104,3.83E-41,3
Rbpj,1.43E-29,0.495130185,0.265,0.128,3.58E-25,3
Ctsz,6.11E-63,0.492703487,0.51,0.262,1.53E-58,3
Abca1,9.10E-49,0.481632814,0.61,0.38,2.28E-44,3
Atp2b1,5.80E-51,0.48130945,0.591,0.356,1.45E-46,3
Plekha1,1.14E-48,0.47839789,0.32,0.142,2.84E-44,3
Tec,9.85E-52,0.477633891,0.417,0.208,2.47E-47,3
