X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_MInhibvsMCtrl
Arl4d,172.6447494,-0.952070391,0.184927015,-4.953997895,7.27E-07,0.000583079,Arl4d
Hspa1b,187.1973343,-0.93876128,0.191922635,-4.627534147,3.70E-06,0.002298496,Hspa1b
Dnajb1,763.2659238,-0.916277158,0.129223147,-7.094039727,1.30E-12,1.92E-08,Dnajb1
Tm6sf2,17.54097237,-0.907172091,0.195826565,-4.529030425,5.93E-06,NA,Tm6sf2
Errfi1,504.0285646,-0.854717106,0.14530161,-5.809749735,6.26E-09,1.84E-05,Errfi1
Junb,920.389185,-0.844278489,0.184889033,-4.379685518,1.19E-05,0.004756978,Junb
CT010467.1,23465.37869,-0.822760347,0.190213558,-4.167097219,3.09E-05,0.009282161,CT010467.1
Gm10254,45.23256528,-0.778413127,0.179193141,-4.378709325,1.19E-05,0.004756978,Gm10254
Tnfrsf25,129.2573496,-0.777472394,0.170031197,-4.501290179,6.75E-06,0.003433707,Tnfrsf25
Calb2,461.8688326,-0.754210524,0.180683826,-4.096408768,4.20E-05,0.011247803,Calb2
Scn5a,35.54157924,-0.751452826,0.194938417,-3.748444987,0.000177934,0.026778292,Scn5a
Nfkbia,314.1348844,-0.749196558,0.169969699,-4.353939641,1.34E-05,0.005054677,Nfkbia
Gm14287,50.79930983,-0.724769477,0.176651429,-4.049123011,5.14E-05,0.01284638,Gm14287
Ddit4,919.5691617,-0.72047481,0.137771661,-5.158571875,2.49E-07,0.000333514,Ddit4
Tagap,12.990102,-0.716139161,0.195219536,-3.650666386,0.000261561,NA,Tagap
Krt73,58.61951526,-0.687237613,0.193314298,-3.345680414,0.000820809,0.055868129,Krt73
Sik1,220.3985181,-0.681861424,0.187173031,-3.587323191,0.00033409,0.037599166,Sik1
11-Mar,37.55721574,-0.679477795,0.18881683,-3.513583922,0.000442105,0.043453,11-Mar
Stac3,11.78017356,-0.677429473,0.195805075,-3.33582999,0.000850452,NA,Stac3
Eomes,14.08706556,-0.669191966,0.186195634,-3.388662602,0.000702344,NA,Eomes
Dlx2,59.16634291,-0.665716006,0.186386622,-3.483519689,0.000494867,0.046176076,Dlx2
Per1,1012.037576,-0.664785889,0.150305187,-4.310316935,1.63E-05,0.006005028,Per1
Chrm4,136.5725459,-0.659849393,0.169421239,-3.75251865,0.000175067,0.026778292,Chrm4
Rasl11b,602.7653864,-0.652355406,0.145200806,-4.387838431,1.14E-05,0.004756978,Rasl11b
Dyrk3,210.7494705,-0.648892199,0.163620846,-3.945841074,7.95E-05,0.017044455,Dyrk3
Nab2,319.8485501,-0.647827341,0.179565002,-3.466958973,0.000526382,0.047668838,Nab2
Gadd45b,166.7434906,-0.646139343,0.160699143,-3.885547234,0.0001021,0.019434383,Gadd45b
Igfbpl1,36.93538317,-0.644595902,0.195424981,-3.289291545,0.001004399,0.061575959,Igfbpl1
Csrnp1,131.5780281,-0.644250287,0.180626384,-3.420282969,0.00062556,0.051538605,Csrnp1
Slc19a2,233.7519146,-0.643156958,0.128232361,-5.026198911,5.00E-07,0.000491725,Slc19a2
2600014E21Rik,17.54361825,-0.639271607,0.192195273,-3.279335403,0.001040519,NA,2600014E21Rik
Ier2,101.2486566,-0.63325971,0.18745118,-3.271567196,0.001069532,0.063072423,Ier2
Nr4a1,868.8745865,-0.632354357,0.188250799,-3.253535236,0.001139786,0.063612997,Nr4a1
Tmem252,41.68407329,-0.626320084,0.191068433,-3.352189233,0.000801752,0.055716859,Tmem252
Lbhd2,23.0945683,-0.623698457,0.17707657,-3.180246207,0.0014715,0.072809021,Lbhd2
Pcdhb12,43.55775194,-0.623032452,0.188751587,-3.193264899,0.001406738,0.071025834,Pcdhb12
Dlx5,40.04833701,-0.619340049,0.1925363,-3.083108214,0.002048506,0.082346478,Dlx5
Dmrtc1a,69.33855973,-0.618444604,0.161907602,-3.757318743,0.000171744,0.026778292,Dmrtc1a
Fam43b,221.5434466,-0.614109345,0.176242682,-3.368445472,0.000755933,0.054631016,Fam43b
Ccne1,136.4846752,-0.609600813,0.173935192,-3.396114226,0.000683498,0.05303587,Ccne1
Nptx2,295.7162112,-0.601776104,0.189647535,-3.059527921,0.002216861,0.085498086,Nptx2
Zbtb8b,58.48647537,-0.59371577,0.189675371,-3.022481025,0.002507118,0.088426892,Zbtb8b
Rasd1,384.6999401,-0.59187436,0.190853291,-2.940869371,0.003272925,0.097774889,Rasd1
Mchr1,190.4767145,-0.591848658,0.184536905,-3.058954869,0.002221106,0.085498086,Mchr1
Shh,15.28522573,-0.591556019,0.19566384,-2.929750401,0.003392344,NA,Shh
Chgb,5594.032398,-0.590332427,0.187952113,-2.934160705,0.00334451,0.098259475,Chgb
Plekhf1,96.52769971,-0.58975939,0.182826062,-3.158215918,0.001587379,0.075298475,Plekhf1
Noxred1,10.18975316,-0.588495849,0.195931206,-3.037820292,0.00238296,NA,Noxred1
Phf13,192.4155759,-0.587297173,0.151527867,-3.817710872,0.000134696,0.022825493,Phf13
Grasp,689.070433,-0.583096033,0.165318196,-3.409774167,0.000650167,0.051807057,Grasp
Gm14137,16.64670269,-0.582896741,0.194984889,-2.973041404,0.002948647,NA,Gm14137
Ecel1,63.40864737,-0.582602783,0.19462727,-2.968137217,0.002996105,0.095138452,Ecel1
Spata2l,502.6407812,-0.581695122,0.176119305,-3.195126581,0.001397695,0.070811756,Spata2l
Jun,1521.263989,-0.58025922,0.163815332,-3.446502807,0.000567893,0.049711639,Jun
Bdnf,583.6489929,-0.580067488,0.172442841,-3.29588516,0.000981121,0.060521626,Bdnf
Pvr,93.37942582,-0.579979599,0.16015278,-3.614759712,0.000300626,0.036606525,Pvr
Slc9a4,155.7361916,-0.575759995,0.180819786,-3.085680815,0.002030867,0.082346478,Slc9a4
Dusp1,313.8525385,-0.575006338,0.18374583,-3.007044658,0.00263801,0.090199425,Dusp1
Plk3,125.5269956,-0.572683861,0.146898073,-3.85730096,0.000114646,0.020460879,Plk3
Gm43327,9.323645126,-0.571432025,0.194392585,-2.821440299,0.004780854,NA,Gm43327
Dync1i1,1251.631925,-0.566698231,0.186398805,-2.865986386,0.004157121,0.105669721,Dync1i1
Taf5,94.58949071,-0.565883989,0.142708684,-3.914063839,9.08E-05,0.018499586,Taf5
Fos,191.4290145,-0.564259147,0.185323465,-2.894169233,0.003801632,0.101689516,Fos
Apold1,87.71691228,-0.562427297,0.187462529,-2.868886457,0.004119196,0.105314798,Apold1
Arrdc2,185.4301514,-0.560432807,0.171728283,-3.137165146,0.0017059,0.076705166,Arrdc2
Siah2,221.2210903,-0.557549348,0.142163037,-3.872911086,0.000107543,0.019649972,Siah2
Rbm12b2,125.7003286,-0.557088205,0.142674807,-3.901127059,9.57E-05,0.019075425,Rbm12b2
Rem2,196.9036016,-0.556355152,0.188765682,-2.771206332,0.005584902,0.114721618,Rem2
Gm13394,34.64973431,-0.5559015,0.174014361,-3.129339414,0.001751998,0.077534073,Gm13394
Egr4,472.9752192,-0.555247892,0.19486369,-2.740769562,0.006129548,0.118748917,Egr4
Zfp189,279.7333825,-0.554637837,0.158674396,-3.41545723,0.00063675,0.051538605,Zfp189
Klf2,191.2592152,-0.552357454,0.187609898,-2.905547914,0.003666107,0.100213056,Klf2
Zfp213,50.17287571,-0.548667485,0.175334638,-3.097340339,0.001952656,0.081274056,Zfp213
Foxo6,581.6655928,-0.547861306,0.14566212,-3.686536543,0.000227327,0.031322235,Foxo6
Jazf1,294.3116666,-0.547019803,0.158897996,-3.351079727,0.000804971,0.055716859,Jazf1
Esr1,33.54160383,-0.546291579,0.183170682,-2.936188264,0.003322726,0.098259475,Esr1
Cebpb,281.6636387,-0.54558081,0.166657253,-3.162808577,0.00156255,0.075298475,Cebpb
Sult5a1,21.38042781,-0.543571649,0.192252802,-2.793799846,0.005209271,0.112461514,Sult5a1
Zfp418,36.45398107,-0.543414787,0.187170918,-2.814620531,0.004883486,0.110690539,Zfp418
Htr4,147.8155179,-0.541718246,0.169916223,-3.123329676,0.001788173,0.077534073,Htr4
Gm16105,17.02096938,-0.540988738,0.195468102,-2.650151901,0.008045559,NA,Gm16105
Wif1,14.22554394,-0.540405223,0.195716471,-2.725397016,0.006422421,NA,Wif1
Pmaip1,24.25910944,-0.539520407,0.187659709,-2.782040976,0.005401822,0.114180948,Pmaip1
Egr1,1499.21976,-0.539261921,0.194378606,-2.631425413,0.008502753,0.131262917,Egr1
Pnrc1,533.4799541,-0.538361696,0.155284175,-3.391310371,0.000695593,0.053087512,Pnrc1
Slco5a1,27.76513122,-0.537860394,0.187996211,-2.805655048,0.005021442,0.111492642,Slco5a1
Dusp6,687.354821,-0.536131482,0.164190767,-3.164777883,0.001552014,0.075298475,Dusp6
Rtn4rl2,803.7883267,-0.535416906,0.16358286,-3.178910566,0.001478297,0.072809021,Rtn4rl2
Ngf,55.81004494,-0.531693792,0.162484783,-3.20131767,0.001368006,0.070273574,Ngf
Olfm4,61.07549703,-0.531667296,0.169899164,-3.086683871,0.002024027,0.082346478,Olfm4
Nefm,1828.082691,-0.531547281,0.184107323,-2.731043253,0.006313419,0.120254162,Nefm
Lrrn4,24.4189299,-0.531299784,0.194753408,-2.629104349,0.008561009,0.131473908,Lrrn4
Ccnjl,96.17329755,-0.530706292,0.171053462,-3.031511132,0.002433329,0.0882819,Ccnjl
Slc32a1,920.9017138,-0.530401601,0.17457173,-2.969051278,0.002987207,0.095138452,Slc32a1
C1ql2,1912.175328,-0.529968941,0.169753451,-3.027409035,0.002466599,0.0882819,C1ql2
Rbm12,184.2894479,-0.526136794,0.13649499,-3.833073126,0.000126552,0.021950127,Rbm12
Tubb2a,5261.738027,-0.52476365,0.167837798,-3.023734331,0.002496756,0.088401435,Tubb2a
Zfp667,241.8725522,-0.522792699,0.130382185,-3.988188007,6.66E-05,0.015101344,Zfp667
Prkcg,5552.500904,-0.522604627,0.188577904,-2.575206728,0.010018019,0.137883183,Prkcg
Pdlim1,65.52638989,-0.521875838,0.183912436,-2.699785379,0.006938422,0.124025571,Pdlim1
Kin,113.2375064,-0.521337724,0.14911594,-3.491245614,0.000480774,0.04543623,Kin
Rtn4r,913.8034543,-0.520609252,0.174906541,-2.81371483,0.004897265,0.110690539,Rtn4r
1700017B05Rik,288.3980838,-0.519819605,0.132831967,-3.856142273,0.00011519,0.020460879,1700017B05Rik
Dnajb5,1407.053887,-0.51952567,0.177401815,-2.80898132,0.004969853,0.110738851,Dnajb5
Nkx2-1,10.31723535,-0.519068251,0.183796571,-2.727500258,0.006381621,NA,Nkx2-1
Atp6v0c,1115.184127,-0.518265264,0.168253955,-3.001752558,0.002684303,0.090559896,Atp6v0c
Sertad1,75.84425827,-0.516211787,0.150424964,-3.406871749,0.00065712,0.051807057,Sertad1
Lhfpl5,41.52387566,-0.515858557,0.180042743,-2.795609744,0.005180191,0.112461514,Lhfpl5
Fosb,169.7398234,-0.515576443,0.182208443,-2.780085647,0.005434456,0.114180948,Fosb
Panx1,235.1168478,-0.51513013,0.161999987,-3.130270923,0.001746452,0.077534073,Panx1
Kcng1,572.367818,-0.513957665,0.155661624,-3.237994086,0.001203733,0.065972626,Kcng1
Tnfaip3,78.01812602,-0.513366524,0.17928249,-2.757467546,0.0058251,0.116738501,Tnfaip3
Ing2,322.1854304,-0.513015898,0.131472274,-3.871969287,0.00010796,0.019649972,Ing2
1700056N10Rik,29.33419375,-0.512332214,0.183680977,-2.77982763,0.005438776,0.114180948,1700056N10Rik
Chst8,305.8531492,-0.51131446,0.172165591,-2.820116744,0.004800618,0.110242231,Chst8
Rtn4rl1,1258.705507,-0.511312772,0.169551008,-2.917304448,0.00353071,0.099642093,Rtn4rl1
1700016P03Rik,38.7407988,-0.509825549,0.187095903,-2.704600427,0.006838659,0.12310422,1700016P03Rik
Cdh13,513.4283963,-0.509215331,0.158822463,-3.127339755,0.00176396,0.077534073,Cdh13
Wnt3,35.61790957,-0.507479873,0.170286873,-2.953024305,0.003146772,0.0970241,Wnt3
Gm13630,5.749333921,-0.507321655,0.185088282,-2.687778151,0.007192917,NA,Gm13630
Cnnm4,184.3256521,-0.506591355,0.146735535,-3.369635529,0.000752677,0.054631016,Cnnm4
Nol10,222.5478846,-0.506299381,0.163237811,-3.033631647,0.002416293,0.088105674,Nol10
Gm42547,87.37200733,-0.505790623,0.167132303,-2.943330705,0.003247014,0.097774889,Gm42547
Pomgnt2,557.7039874,-0.505481387,0.135522061,-3.666175479,0.000246205,0.032998186,Pomgnt2
Olfml2b,430.1259613,-0.503216365,0.184633056,-2.61137148,0.009017988,0.134002957,Olfml2b
Tmem59l,3107.935493,-0.50317291,0.16094607,-3.01661141,0.002556173,0.089091379,Tmem59l
Cadm3,4340.656754,-0.502809406,0.169847401,-2.845776417,0.004430329,0.107717389,Cadm3
Clstn3,3788.577528,-0.502363893,0.173484301,-2.749652036,0.005965858,0.118217013,Clstn3
Maged1,6325.369845,-0.501635757,0.177944922,-2.689613568,0.00715348,0.125580598,Maged1
Agfg2,750.1060339,-0.499640126,0.153485178,-3.149924303,0.001633128,0.075477122,Agfg2
Zfp30,177.2135524,-0.497923069,0.137559892,-3.580657687,0.00034273,0.037946804,Zfp30
Gm12346,176.5098972,-0.497266396,0.158745577,-3.052120087,0.002272312,0.085679519,Gm12346
Slc18a2,79.0921805,-0.497020494,0.153930935,-3.21202385,0.001318034,0.069114148,Slc18a2
Tbc1d25,120.8159241,-0.4968065,0.186016159,-2.53886645,0.011121227,0.143824776,Tbc1d25
Lpl,583.7015485,-0.496134167,0.163368544,-2.951837269,0.003158894,0.0970241,Lpl
Pgam1-ps2,52.13057348,-0.495810424,0.162173778,-3.044123025,0.002333597,0.087320353,Pgam1-ps2
Ythdf2,459.9698587,-0.494233978,0.142717904,-3.374743392,0.000738845,0.053924748,Ythdf2
Corin,5.49264453,-0.493995559,0.169467691,-2.750161625,0.005956588,NA,Corin
Slc10a4,9.155940335,-0.492185478,0.174114521,-2.658829185,0.007841271,NA,Slc10a4
Pcdhb4,51.10299829,-0.491599158,0.189299694,-2.533762548,0.011284517,0.144208016,Pcdhb4
Syp,10632.82305,-0.491201031,0.169141095,-2.781782974,0.005406118,0.114180948,Syp
Mblac2,434.9076444,-0.490083839,0.138872603,-3.500534911,0.000464325,0.044451621,Mblac2
Crtac1,1433.577153,-0.489274688,0.169501166,-2.803254957,0.005058966,0.111653196,Crtac1
Ier5l,270.8951853,-0.489058023,0.160744835,-2.913180916,0.003577673,0.099642093,Ier5l
Tmem114,50.21999171,-0.488439402,0.185071313,-2.454037337,0.014126231,0.155495451,Tmem114
Plat,461.6315407,-0.487664056,0.13180328,-3.753128701,0.000174641,0.026778292,Plat
Col25a1,623.5538873,-0.487467749,0.183029986,-2.550329531,0.010762114,0.141539562,Col25a1
Med26,121.1050962,-0.487023529,0.179521024,-2.640417148,0.008280404,0.130333677,Med26
Gm6210,5.973522774,-0.486933282,0.186934538,-2.556311803,0.010578828,NA,Gm6210
Rab3a,5753.850319,-0.486694605,0.170257752,-2.724174399,0.006446246,0.12078367,Rab3a
Got1,3541.194463,-0.486641547,0.169889227,-2.746594081,0.006021761,0.118242073,Got1
Adgrd1,23.56560863,-0.486502674,0.193348406,-2.495067818,0.012593306,0.149246872,Adgrd1
Abt1,232.6027742,-0.486168371,0.157528811,-2.974496607,0.002934697,0.095090633,Abt1
Rab40b,488.0818571,-0.485930071,0.164385621,-2.869457303,0.004111768,0.105314798,Rab40b
Rel,57.78908623,-0.485453264,0.167959336,-2.829160466,0.004667029,0.109139987,Rel
Pnoc,108.1542181,-0.484803783,0.188934498,-2.50484234,0.012250599,0.148022202,Pnoc
Eno2,8348.132614,-0.484695103,0.173916961,-2.658241886,0.007854949,0.128914717,Eno2
Arhgap36,14.40339155,-0.484435192,0.195306416,-2.524384416,0.011590111,NA,Arhgap36
Crybg2,11.38108941,-0.484088426,0.195773761,-2.507271533,0.012166721,NA,Crybg2
Cep131,320.6888077,-0.48367388,0.156850076,-2.984173857,0.002843452,0.093804517,Cep131
Wasf1,3847.099287,-0.482891301,0.182901072,-2.473743615,0.013370561,0.151983178,Wasf1
Gaa,5014.31689,-0.482696991,0.164600164,-2.835856561,0.004570297,0.108869445,Gaa
Gm17201,57.17982339,-0.482141712,0.181036818,-2.517307256,0.011825565,0.146146498,Gm17201
Actn1,755.9730817,-0.4820082,0.171083603,-2.672757006,0.007523072,0.127274443,Actn1
Igsf8,2530.993947,-0.481234401,0.16775959,-2.757314939,0.005827819,0.116738501,Igsf8
Cx3cl1,5120.926596,-0.48082317,0.181479725,-2.481603603,0.013079268,0.150760447,Cx3cl1
Cpne6,5197.861469,-0.480487885,0.1826598,-2.467750666,0.013596499,0.152924934,Cpne6
Pnma3,285.4199007,-0.478508286,0.178711768,-2.597231899,0.009397845,0.135546014,Pnma3
Slc27a3,106.390326,-0.477768321,0.175340635,-2.654756954,0.007936557,0.129359226,Slc27a3
Sumo2,254.6212894,-0.477694947,0.181024941,-2.504003853,0.01227967,0.148022202,Sumo2
Brinp1,2671.851937,-0.477598235,0.157895412,-2.932647117,0.003360857,0.098259475,Brinp1
Ephb2,338.8676264,-0.476974159,0.181327299,-2.493818434,0.012637717,0.149412881,Ephb2
Socs2,221.3920009,-0.476197501,0.144388168,-3.276825793,0.001049811,0.062158099,Socs2
Ypel4,551.9029068,-0.475966191,0.162498081,-2.846632403,0.004418435,0.107717389,Ypel4
Nhlh2,23.22631356,-0.475938774,0.193910827,-2.392750513,0.016722608,0.166582032,Nhlh2
Hyls1,100.6768985,-0.475756901,0.176960579,-2.654734902,0.007937076,0.129359226,Hyls1
Trpc4,497.3098567,-0.475560048,0.176927614,-2.622677301,0.008724186,0.132134963,Trpc4
Grwd1,215.439344,-0.475486836,0.155005189,-3.005501384,0.002651434,0.090199425,Grwd1
Zfp169,110.3754036,-0.475422634,0.15519701,-3.025794348,0.002479809,0.088401435,Zfp169
Tob2,566.452069,-0.475160394,0.128749272,-3.644653644,0.000267752,0.034325825,Tob2
Edc3,303.8913451,-0.475099963,0.140509417,-3.345172334,0.000822315,0.055868129,Edc3
Ankrd55,33.40752344,-0.474395481,0.192460097,-2.374266153,0.01758387,0.168077917,Ankrd55
Sfrp2,14.53885409,-0.474253578,0.195639563,-2.360367177,0.018256855,NA,Sfrp2
Pias4,343.6694182,-0.474193528,0.155152461,-2.964376485,0.00303297,0.095138452,Pias4
Plk2,1977.619348,-0.474168058,0.180575651,-2.46660127,0.013640215,0.152926002,Plk2
Gmpr,584.6435949,-0.473891843,0.159838604,-2.884347579,0.003922256,0.103445111,Gmpr
Rps4l,321.5177663,-0.473794375,0.177494073,-2.711653562,0.006694852,0.121854577,Rps4l
Rara,183.7252291,-0.473132151,0.166598604,-2.79646961,0.005166427,0.112461514,Rara
1810055G02Rik,200.0336562,-0.472845714,0.153922671,-3.036685032,0.002391953,0.088105674,1810055G02Rik
Aldh1b1,106.9568473,-0.472420382,0.191549702,-2.338937028,0.019338693,0.172272113,Aldh1b1
Ntng1,453.0894162,-0.472360453,0.153843923,-3.030134513,0.002444448,0.0882819,Ntng1
Nap1l3,560.461629,-0.472334285,0.158893858,-2.867597384,0.004136015,0.105314798,Nap1l3
Oprl1,436.798826,-0.470526673,0.163192723,-2.800081026,0.005108978,0.112252852,Oprl1
Sema3e,717.1413434,-0.470399562,0.179403119,-2.484577058,0.012970543,0.150569313,Sema3e
Dlg3,2353.785939,-0.469743757,0.180956429,-2.449629768,0.014300317,0.155987558,Dlg3
Atp1b1,18637.33125,-0.469563084,0.163732708,-2.78585738,0.005338635,0.113428645,Atp1b1
Pcdh8,1154.690843,-0.468837117,0.156059497,-2.944296084,0.003236902,0.097774889,Pcdh8
Palm3,45.01512647,-0.468453291,0.192380862,-2.383920388,0.017129308,0.167910493,Palm3
Lrrtm1,1419.33644,-0.466679823,0.16498115,-2.715522236,0.006617133,0.121118546,Lrrtm1
L1cam,1014.481143,-0.466615376,0.181686785,-2.421480579,0.015457427,0.162365184,L1cam
Islr2,1541.788204,-0.46615094,0.167595325,-2.659792188,0.007818888,0.128914717,Islr2
Jmjd6,301.3672464,-0.465479013,0.100910367,-4.615880777,3.91E-06,0.002308351,Jmjd6
Otogl,21.91784997,-0.464324798,0.192905893,-2.421454042,0.015458556,0.162365184,Otogl
Sez6,2266.814232,-0.464186114,0.182035078,-2.416154579,0.015685401,0.163312051,Sez6
Pja1,2389.270539,-0.464170017,0.17565694,-2.519440345,0.011754156,0.145913781,Pja1
Slc41a2,232.7629766,-0.463906161,0.174514159,-2.588136552,0.009649672,0.135626722,Slc41a2
Zswim3,90.27222415,-0.463677088,0.16761708,-2.684736062,0.00725871,0.12656743,Zswim3
Tac2,29.74898318,-0.463602119,0.187954389,-2.368353757,0.017867443,0.168655414,Tac2
Slc29a2,151.9283656,-0.463473427,0.167432399,-2.67458317,0.007482221,0.127274443,Slc29a2
Acvr1c,317.8728193,-0.463455827,0.169410584,-2.725304938,0.006424212,0.12078367,Acvr1c
Zswim6,341.4000298,-0.463389693,0.160842824,-2.813356376,0.004902728,0.110690539,Zswim6
Thop1,547.1412822,-0.462601474,0.165045525,-2.689740688,0.007150756,0.125580598,Thop1
Slc1a1,1064.505364,-0.462577606,0.170368789,-2.588312931,0.009644732,0.135626722,Slc1a1
Ccdc117,326.886271,-0.462490914,0.127157193,-3.660002853,0.000252212,0.033414255,Ccdc117
Tubb4a,6684.453134,-0.461797317,0.17426358,-2.504757717,0.01225353,0.148022202,Tubb4a
Myadm,578.8603861,-0.461460848,0.178796205,-2.40677598,0.016094039,0.164088383,Myadm
Slc2a3,1488.067784,-0.458942148,0.15918702,-2.793540128,0.005213456,0.112461514,Slc2a3
Pcsk2,2594.645303,-0.45888485,0.175217445,-2.478960302,0.013176597,0.151007026,Pcsk2
Pnpo,414.8550084,-0.458454755,0.136937435,-3.288684956,0.001006566,0.061575959,Pnpo
Nutf2-ps1,46.78215906,-0.457974157,0.194706427,-2.310655846,0.020851872,0.176827841,Nutf2-ps1
Sidt1,496.3395928,-0.457948989,0.16785593,-2.58764783,0.009663372,0.135626722,Sidt1
Rae1,451.1883016,-0.457379943,0.153260776,-2.901546269,0.003713259,0.100448776,Rae1
Snap47,3545.463532,-0.457250665,0.170124408,-2.561458665,0.010423364,0.139195346,Snap47
Atp1a1,8202.653589,-0.457176079,0.169856039,-2.562416479,0.010394659,0.13906393,Atp1a1
Sv2a,4553.246085,-0.457131846,0.183535054,-2.334593724,0.019564655,0.173134276,Sv2a
Trpc7,49.43714371,-0.457048062,0.170781656,-2.726211058,0.006406602,0.120716167,Trpc7
Atp6v1a,8187.414055,-0.456789498,0.143021745,-3.137057812,0.001706525,0.076705166,Atp6v1a
Pim3,677.9881038,-0.456750626,0.137462593,-3.257801654,0.001122789,0.063612997,Pim3
Mas1,404.1979137,-0.456578596,0.164764198,-2.689537801,0.007155104,0.125580598,Mas1
Slc6a7,643.5915138,-0.456352796,0.182611979,-2.352013798,0.018672082,0.170698158,Slc6a7
Fndc9,22.05526319,-0.456251095,0.192833005,-2.328218885,0.019900484,0.174223773,Fndc9
Pld5,45.5901533,-0.456107125,0.195144227,-2.379889262,0.017317841,0.168077917,Pld5
Ak5,3112.555564,-0.455881818,0.172002528,-2.503441353,0.012299206,0.148022202,Ak5
Scml4,62.87284455,-0.45576112,0.168387439,-2.719656723,0.006534972,0.121118546,Scml4
Gad1,3447.924752,-0.453821002,0.178282957,-2.418048519,0.015603996,0.163040194,Gad1
Scg2,1979.225713,-0.453791702,0.160610874,-2.789928307,0.005271971,0.112827192,Scg2
Hid1,1225.339247,-0.453211263,0.154861412,-2.81684017,0.004849865,0.110341922,Hid1
Spty2d1,269.2290135,-0.452757726,0.14783524,-3.002763283,0.002675404,0.090466715,Spty2d1
Tcf15,27.33847337,-0.452237045,0.193146545,-2.347879233,0.018880642,0.170782787,Tcf15
Pycr2,461.5269184,-0.451409749,0.126439634,-3.533964048,0.000409377,0.041338641,Pycr2
Uchl1,7177.266391,-0.451147611,0.114063031,-3.941637127,8.09E-05,0.017044455,Uchl1
Trim72,3.36690517,-0.450166463,0.157612297,-2.679980196,0.007362652,NA,Trim72
Gm28192,21.06172245,-0.450009519,0.189746903,-2.346935976,0.018928507,0.170782787,Gm28192
Cited2,439.2646623,-0.44931967,0.171821629,-2.523229872,0.011628236,0.145091307,Cited2
Tsen54,96.73783577,-0.449267185,0.139483907,-3.208327003,0.001335096,0.069114148,Tsen54
Tpst1,603.7139451,-0.44883674,0.14089065,-3.135855139,0.001713538,0.076786303,Tpst1
Slc7a4,855.1249181,-0.448684124,0.139586391,-3.164015477,0.001556085,0.075298475,Slc7a4
Trmt1l,304.3145902,-0.448653233,0.15045399,-2.919094464,0.003510498,0.099642093,Trmt1l
Inka1,50.41782438,-0.448242262,0.182295375,-2.432007728,0.015015387,0.160271317,Inka1
Ufsp1,86.62918137,-0.447804223,0.178093201,-2.427990622,0.015182736,0.161151242,Ufsp1
Gars,1322.529627,-0.447472479,0.159537018,-2.716488515,0.006597848,0.121118546,Gars
Vps37d,333.0606247,-0.447393796,0.13015886,-3.382626016,0.000717963,0.053087512,Vps37d
Kifap3,2971.313147,-0.446140674,0.153370874,-2.810130404,0.004952143,0.110738851,Kifap3
Bcar1,854.7598886,-0.445464433,0.148638614,-2.915431041,0.003551976,0.099642093,Bcar1
Zbtb11,560.0097609,-0.445432403,0.125950221,-3.494272997,0.000475355,0.045213896,Zbtb11
Coro1a,1129.602894,-0.445243393,0.161999573,-2.661752491,0.007773502,0.128914717,Coro1a
Pcdha6,23.34999749,-0.445087911,0.194998487,-2.124977852,0.033588461,0.209957353,Pcdha6
Dync1li1,1002.25574,-0.445080826,0.168007536,-2.556778217,0.010564655,0.140319558,Dync1li1
Spock1,2368.651092,-0.444638948,0.178640828,-2.336907733,0.019443982,0.17289664,Spock1
Noct,750.8066177,-0.444399322,0.170256593,-2.476737568,0.013258935,0.151297587,Noct
Rab4b,13.03888646,-0.444060873,0.195646923,-2.28211836,0.022482353,NA,Rab4b
Acot7,2959.433849,-0.443907777,0.168060256,-2.535403329,0.011231792,0.143991579,Acot7
Fam84a,1284.564804,-0.443267563,0.16559902,-2.592760022,0.009520918,0.135626722,Fam84a
Atg101,413.7057818,-0.443181333,0.160255958,-2.681693462,0.007325055,0.12656743,Atg101
Slc35e2,448.9653964,-0.443152634,0.13140486,-3.32367483,0.000888397,0.058998376,Slc35e2
Ccdc184,185.7102208,-0.443125169,0.187420529,-2.18908222,0.028590865,0.198771339,Ccdc184
Npffr1,49.0127608,-0.442503677,0.193031459,-2.317333187,0.020485589,0.176217639,Npffr1
Rrp1,3506.659353,-0.442409098,0.170263457,-2.471938075,0.013438279,0.152113313,Rrp1
Lpcat4,706.3511253,-0.442081864,0.161644814,-2.638453403,0.008328515,0.130333677,Lpcat4
Fam131a,5120.927995,-0.441844109,0.169390991,-2.484299964,0.012980641,0.150569313,Fam131a
Wscd2,1021.610191,-0.441820363,0.17855095,-2.342994544,0.019129663,0.171643649,Wscd2
Fuk,258.1894679,-0.441587029,0.151101079,-2.849591059,0.004377547,0.107206279,Fuk
Asb6,378.3356339,-0.441353337,0.140517746,-3.066213923,0.002167881,0.085498086,Asb6
Lsm12,357.9409778,-0.441195903,0.134047872,-3.240491455,0.001193238,0.065641474,Lsm12
Gm44997,6.09139842,-0.441035397,0.184972202,-2.346475983,0.018951888,NA,Gm44997
Zfp790,173.7345859,-0.440948337,0.147449493,-2.948693913,0.003191199,0.097407541,Zfp790
Mir7027,1.714270238,-0.440790092,0.134077504,-2.789910697,0.005272258,NA,Mir7027
Ankmy2,519.5672945,-0.440690061,0.156389557,-2.736850119,0.006203055,0.119251767,Ankmy2
